,ciudad,cliente,cluster,recomendados
2,TUNJA,40078375,3401.0,CAMISETA MANGA LARGA
3,TUNJA,40078375,3401.0,PANTALON
4,TUNJA,40078375,3401.0,TENIS
0,TUNJA,40091676,3401.0,CAMISA MANGA LARGA
1,TUNJA,40091676,3401.0,CAMISA MANGA CORTA
2,TUNJA,40091676,3401.0,BOXER
3,TUNJA,40091676,3401.0,SUDADERA
4,TUNJA,40091676,3401.0,BUZO
0,TUNJA,40091695,3401.0,BOXER
1,TUNJA,40091695,3401.0,CHAQUETA
2,TUNJA,40091695,3401.0,TENIS
3,TUNJA,40091695,3401.0,CAMISETA MANGA LARGA
4,TUNJA,40091695,3401.0,CAMISETA MANGA CORTA
0,TUNJA,40091704,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40091704,3401.0,BODY MANGA SISA
2,TUNJA,40091704,3401.0,BUZO
3,TUNJA,40091704,3401.0,CHAQUETA
4,TUNJA,40091704,3401.0,ZAPATOS PRECAMINADOR
0,TUNJA,40091706,3401.0,BOTAS
1,TUNJA,40091706,3401.0,CONJUNTO LARGO
2,TUNJA,40091706,3401.0,MINIFALDA
3,TUNJA,40091706,3401.0,SUDADERA
4,TUNJA,40091706,3401.0,VESTIDO MANGA SISA
0,TUNJA,40091740,3401.0,CAMISA MANGA CORTA
1,TUNJA,40091740,3401.0,DENIM
2,TUNJA,40091740,3401.0,CHAQUETA
3,TUNJA,40091740,3401.0,BUZO
4,TUNJA,40091740,3401.0,SHORT
0,TUNJA,40091911,3401.0,ANTIBACTERIAL
1,TUNJA,40091911,3401.0,CAMISETA MANGA LARGA
2,TUNJA,40091911,3401.0,CAMISETA MANGA CORTA
3,TUNJA,40091911,3401.0,CAMISETA POLO
4,TUNJA,40091911,3401.0,LEGGINGS
0,TUNJA,40092026,3401.0,CHAQUETA
1,TUNJA,40092026,3401.0,CAÑA LARGA
2,TUNJA,40092026,3401.0,BODY MANGA LARGA
3,TUNJA,40092026,3401.0,BUZO
4,TUNJA,40092026,3401.0,OVERALL LARGO
0,TUNJA,40092281,3401.0,DENIM
1,TUNJA,40092281,3401.0,CAMISA MANGA CORTA
2,TUNJA,40092281,3401.0,SUDADERA
0,TUNJA,40092435,3401.0,CHAQUETA
1,TUNJA,40092435,3401.0,CUIDADO PERSONAL
2,TUNJA,40092435,3401.0,COBIJA SENCILLA
0,TUNJA,40092497,3401.0,PANTALON
1,TUNJA,40092497,3401.0,DENIM
2,TUNJA,40092497,3401.0,CAMISETA MANGA LARGA
3,TUNJA,40092497,3401.0,CAMISETA MANGA CORTA
4,TUNJA,40092497,3401.0,TENIS
0,TUNJA,40092498,3401.0,CAMISA MANGA CORTA
1,TUNJA,40092498,3401.0,CUIDADO PERSONAL
2,TUNJA,40092498,3401.0,OVERALL LARGO
3,TUNJA,40092498,3401.0,JUGUETE
4,TUNJA,40092498,3401.0,GORRO
0,TUNJA,40092516,3401.0,CHAQUETA
0,TUNJA,40092831,3401.0,BERMUDA
1,TUNJA,40092831,3401.0,CAMISETA MANGA CORTA
2,TUNJA,40092831,3401.0,CHAQUETA
3,TUNJA,40092831,3401.0,SUDADERA
0,TUNJA,40092862,3401.0,BUZO
1,TUNJA,40092862,3401.0,CHAQUETA
2,TUNJA,40092862,3401.0,CAMISA MANGA LARGA
3,TUNJA,40092862,3401.0,TENIS
4,TUNJA,40092862,3401.0,PANTALON
0,TUNJA,40092924,3401.0,BOLSO
1,TUNJA,40092924,3401.0,CAÑA LARGA
2,TUNJA,40092924,3401.0,COBIJA SENCILLA
3,TUNJA,40092924,3401.0,CONJUNTO CORTO
4,TUNJA,40092924,3401.0,MINIFALDA
0,TUNJA,40093007,3401.0,CUIDADO PERSONAL
1,TUNJA,40093007,3401.0,CAMISETA MANGA CORTA
2,TUNJA,40093007,3401.0,BUZO
3,TUNJA,40093007,3401.0,CHAQUETA
4,TUNJA,40093007,3401.0,BERMUDA
0,TUNJA,40093018,3401.0,SUDADERA
1,TUNJA,40093018,3401.0,VESTIDO MANGA CORTA
2,TUNJA,40093018,3401.0,CAMISA MANGA CORTA
3,TUNJA,40093018,3401.0,CAMISETA POLO
4,TUNJA,40093018,3401.0,CONJUNTO LARGO
0,TUNJA,40093082,3401.0,CHAQUETA
1,TUNJA,40093082,3401.0,CAMISETA MANGA CORTA
2,TUNJA,40093082,3401.0,LEGGINGS
3,TUNJA,40093082,3401.0,CAMISA MANGA LARGA
4,TUNJA,40093082,3401.0,PANTALON
0,TUNJA,40093098,3401.0,CHAQUETA
1,TUNJA,40093098,3401.0,CONJUNTO LARGO
